TARGET_,PolyNo,Longitd,Latitud,score,scoreth,scorpfc,scoretr,scorecn,scorecy,reefpct,BCU_ID,BCU_Nam,ReefAre,RfPctAr,BCUarea,BCUpctr,Prtctdr,pct_Prt,MarnRlm,MRlm_Nm,NumEEZ,EEZName,EEZ_Sv1,EEZ_Sv2,EEZ_Sv3,OBJECTI,grav_NC,pop_cnt,nm_prts,reef_vl,sedimnt,nutrint,cml_scr,tp_thrt,Region,grv_NC_,pp_cnt_,nm_prt_,rf_vl_r,sdmnt_r,ntrnt_r
"2634","2635",47.479982669199998,-11.482314481400000,0.009250000000000,-0.002050000000000,-0.078340000000000,0.198530000000000,-0.193110000000000,0.552630000000000,0.238000000000000,0.000000000000000,,30.378910990899996,9.971123333620000,,,304.668892380999978,100.000000091000004,"13",Tropical Indo-Pacific and coastal Indian Ocean,"1",Overlapping claim Glorioso Islands: France / Madagascar,Madagascar,France,,"42083",0.315764829278343,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.052627471546390,Fishing,Western Indian Ocean,0.195206177000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
"2634","2635",47.479982669199998,-11.482314481400000,0.009250000000000,-0.002050000000000,-0.078340000000000,0.198530000000000,-0.193110000000000,0.552630000000000,0.238000000000000,0.000000000000000,,30.378910990899996,9.971123333620000,,,304.668892380999978,100.000000091000004,"13",Tropical Indo-Pacific and coastal Indian Ocean,"1",Overlapping claim Glorioso Islands: France / Madagascar,Madagascar,France,,"42084",0.320821861362402,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.053470310227067,Fishing,Western Indian Ocean,0.203825353825000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
"2634","2635",47.479982669199998,-11.482314481400000,0.009250000000000,-0.002050000000000,-0.078340000000000,0.198530000000000,-0.193110000000000,0.552630000000000,0.238000000000000,0.000000000000000,,30.378910990899996,9.971123333620000,,,304.668892380999978,100.000000091000004,"13",Tropical Indo-Pacific and coastal Indian Ocean,"1",Overlapping claim Glorioso Islands: France / Madagascar,Madagascar,France,,"42168",0.318386994062670,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.053064499010445,Fishing,Western Indian Ocean,0.199298643200000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
"2642","2643",47.639982669200002,-12.421514481399999,0.003440000000000,-0.001840000000000,-0.062300000000000,0.394520000000000,-0.279130000000000,0.352490000000000,0.042000000000000,0.000000000000000,,30.260275746599994,10.004992790299999,,,221.515946728999978,73.240094324500006,"13",Tropical Indo-Pacific and coastal Indian Ocean,"2",Madagascan Exclusive Economic ZoneOverlapping claim Glorioso Islands: France / Madagascar,MadagascarMadagascar,France,,"43209",0.414414414414414,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.069069069069069,Fishing,Western Indian Ocean,0.422587807400000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
"3966","3967",101.399982668999996,-3.078514481350000,0.039080000000000,0.478180000000000,0.128590000000000,-0.172940000000000,-0.972240000000000,0.761780000000000,0.018200000000000,0.000000000000000,,37.050871779600001,11.710805233600000,,,,,"13",Tropical Indo-Pacific and coastal Indian Ocean,"1",Indonesian Exclusive Economic Zone,Indonesia,,,"29845",0.876364930418984,0.792274159279068,0.000000000000000,0.000000000000000,0.933978225687803,0.958837727783612,0.593575840528245,Nitrogen,Southeast Asia,16.110424575400000,3911.124404907226562,0.000000000000000,0.000000000000000,817.336425781250000,7.061945438385010
"3966","3967",101.399982668999996,-3.078514481350000,0.039080000000000,0.478180000000000,0.128590000000000,-0.172940000000000,-0.972240000000000,0.761780000000000,0.018200000000000,0.000000000000000,,37.050871779600001,11.710805233600000,,,,,"13",Tropical Indo-Pacific and coastal Indian Ocean,"1",Indonesian Exclusive Economic Zone,Indonesia,,,"29907",0.876364930418984,0.743131364935160,0.000000000000000,0.000000000000000,0.930962189201118,0.956774086562379,0.584538761852940,Nitrogen,Southeast Asia,16.110424575400000,2470.826690673828125,0.000000000000000,0.000000000000000,751.206420898437500,6.472578048706056
"3974","3975",102.199982668999994,-3.877014481350000,-0.010020000000000,0.091250000000000,0.131800000000000,-0.571380000000000,-1.308500000000000,0.761780000000000,0.060690000000000,0.000000000000000,,179.228973875999969,56.768611179899999,,,,,"13",Tropical Indo-Pacific and coastal Indian Ocean,"1",Indonesian Exclusive Economic Zone,Indonesia,,,"30702",0.985915229158472,0.000000000000000,0.000000000000000,0.883910909224119,0.815083860526703,0.929725646269784,0.602439274196513,Fishing,Southeast Asia,426.231837115499957,0.000000000000000,0.000000000000000,459.000000000000000,102.177284240722656,2.527249097824097
"3974","3975",102.199982668999994,-3.877014481350000,-0.010020000000000,0.091250000000000,0.131800000000000,-0.571380000000000,-1.308500000000000,0.761780000000000,0.060690000000000,0.000000000000000,,179.228973875999969,56.768611179899999,,,,,"13",Tropical Indo-Pacific and coastal Indian Ocean,"1",Indonesian Exclusive Economic Zone,Indonesia,,,"30703",0.988949448408908,0.602736464209832,0.000000000000000,0.928511246245146,0.884434309254083,0.953420669577875,0.726342022949307,Fishing,Southeast Asia,564.264267384049958,646.266387939453239,0.000000000000000,1401.000000000000000,296.004302978515625,5.697811126708984
"3974","3975",102.199982668999994,-3.877014481350000,-0.010020000000000,0.091250000000000,0.131800000000000,-0.571380000000000,-1.308500000000000,0.761780000000000,0.060690000000000,0.000000000000000,,179.228973875999969,56.768611179899999,,,,,"13",Tropical Indo-Pacific and coastal Indian Ocean,"1",Indonesian Exclusive Economic Zone,Indonesia,,,"30704",0.987844393249799,0.994908051871932,0.000000000000000,0.844860429335482,0.918879652787995,0.967534501501668,0.785671171457813,Coastal pop,Southeast Asia,496.708249376200001,182484.657135009765625,0.000000000000000,196.000000000000000,580.069641113281250,10.461519241333008
"3974","3975",102.199982668999994,-3.877014481350000,-0.010020000000000,0.091250000000000,0.131800000000000,-0.571380000000000,-1.308500000000000,0.761780000000000,0.060690000000000,0.000000000000000,,179.228973875999969,56.768611179899999,,,,,"13",Tropical Indo-Pacific and coastal Indian Ocean,"1",Indonesian Exclusive Economic Zone,Indonesia,,,"30746",0.977749058830140,0.000000000000000,0.000000000000000,0.000000000000000,0.845943063116081,0.946529581928399,0.461703617312437,Fishing,Southeast Asia,215.148148557399992,0.000000000000000,0.000000000000000,0.000000000000000,157.460983276367188,4.376367568969727
